Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6
39,86,77,-21,-49,-94
38,87,57,-1,-69,-93
37,67,77,-1,-68,-92
38,66,78,19,-88,-91
58,86,77,-1,-108,-90
38,66,76,-21,-88,-110
37,46,96,-41,-68,-90
38,47,76,-61,-67,-70
58,27,75,-62,-66,-50
57,47,55,-63,-65,-49
56,46,54,-83,-64,-29
57,66,53,-103,-84,-28
56,67,52,-83,-104,-27
57,47,72,-63,-84,-26
56,46,92,-83,-64,-25
57,45,91,-63,-44,-26
37,65,90,-43,-24,-6
36,85,91,-44,-24,-5
56,86,71,-44,-4,-6
57,66,72,-24,-5,-26
37,65,73,-25,-5,-26
36,45,93,-45,-25,-27
56,46,92,-65,-5,-28
55,26,72,-45,-6,-27
54,27,71,-25,-26,-28
34,47,51,-25,-46,-27
54,27,31,-26,-66,-28
34,26,30,-27,-65,-48
54,25,31,-47,-64,-49
55,45,30,-67,-84,-50
54,44,50,-87,-83,-51
55,45,49,-67,-82,-52
56,46,48,-68,-81,-51
36,26,49,-88,-101,-50
56,46,48,-68,-81,-51
57,66,28,-69,-61,-50
77,46,29,-70,-41,-51
76,66,28,-90,-21,-52
75,46,48,-70,-1,-53
55,45,49,-90,19,-54
54,44,48,-70,19,-53
53,45,47,-71,19,-54
73,44,48,-91,-1,-53
72,43,28,-71,-21,-54
92,42,29,-51,-22,-53
72,22,49,-31,-23,-54
92,42,48,-11,-43,-53
93,43,68,-10,-42,-54
73,44,88,-30,-43,-53
74,64,87,-50,-42,-54
73,63,88,-30,-62,-53
53,83,87,-10,-61,-52
54,82,67,10,-81,-53
55,83,66,11,-61,-54
75,63,46,-9,-62,-55
76,62,66,-29,-82,-56
77,42,67,-49,-102,-57
78,43,87,-50,-82,-58
77,63,88,-70,-62,-59
78,64,87,-90,-42,-58
77,63,88,-70,-43,-59
78,64,87,-71,-63,-58
77,44,86,-51,-64,-59
78,43,66,-52,-84,-58
79,42,67,-53,-83,-59
78,22,47,-54,-82,-58
77,42,27,-55,-102,-59
97,22,26,-75,-82,-58
98,42,46,-95,-62,-59
97,41,26,-75,-42,-58
96,61,27,-76,-22,-59
95,81,47,-96,-21,-58
96,82,46,-76,-41,-59
95,81,47,-77,-61,-60
75,82,48,-78,-81,-59
76,62,47,-98,-61,-60
77,61,67,-78,-41,-59
78,60,87,-98,-42,-60
58,40,88,-78,-22,-59
57,41,87,-79,-2,-39
58,61,88,-99,-3,-19
38,62,108,-98,-23,-18
58,82,88,-99,-43,-17
57,102,87,-79,-23,-16
37,82,86,-80,-3,-15
57,62,66,-100,-23,-14
56,82,65,-120,-3,-13
55,83,45,-100,-4,-12
54,82,44,-80,-24,-11
53,81,43,-60,-44,-10
52,82,23,-40,-45,-30
72,81,43,-20,-65,-29
71,61,44,0,-85,-49
70,41,64,1,-84,-48
69,21,84,2,-104,-47
89,20,85,-18,-84,-48
88,0,65,-38,-64,-49
68,-20,64,-18,-65,-48
69,-40,84,-17,-66,-49
49,-60,83,-37,-86,-50
