Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6
17,108,103,-25,-59,-101
18,88,83,-26,-60,-81
38,68,84,-27,-60,-101
37,48,64,-28,-59,-81
17,47,84,-48,-58,-61
-3,48,85,-49,-78,-81
17,47,65,-50,-77,-61
18,48,45,-51,-78,-41
38,28,25,-52,-79,-21
37,8,24,-53,-78,-22
57,9,4,-54,-98,-23
56,10,-16,-74,-97,-43
55,9,-17,-73,-77,-63
35,8,-37,-72,-57,-83
55,7,-17,-71,-56,-103
56,-13,-16,-70,-57,-83
57,-14,4,-90,-56,-63
77,-34,24,-91,-76,-62
57,-35,44,-92,-75,-63
37,-15,64,-93,-95,-62
57,5,84,-113,-96,-63
56,25,83,-112,-76,-62
76,45,103,-111,-56,-63
75,65,103,-110,-57,-62
74,85,103,-109,-58,-63
73,65,103,-108,-38,-62
72,85,103,-107,-18,-63
71,65,103,-106,-19,-43
91,85,103,-86,-20,-23
71,65,103,-106,-40,-3
91,85,102,-105,-60,-2
90,65,103,-104,-59,-22
89,45,83,-84,-79,-42
88,25,63,-64,-99,-22
68,5,64,-63,-98,-21
67,6,84,-62,-118,-1
47,-14,83,-61,-119,-21
48,-13,82,-81,-99,-1
49,-12,62,-82,-79,-21
29,-32,63,-62,-78,-1
49,-12,64,-42,-79,-21
29,8,65,-41,-78,-22
49,7,64,-42,-77,-22
50,-13,44,-43,-57,-23
51,7,24,-63,-77,-24
31,-13,4,-43,-76,-25
51,7,3,-44,-56,-45
50,-13,-17,-44,-57,-65
51,-12,3,-45,-37,-65
31,8,23,-46,-38,-45
32,9,43,-47,-18,-25
52,-11,63,-48,2,-5
53,9,83,-49,22,-6
54,-11,103,-48,23,-7
53,9,83,-47,43,-8
33,-11,103,-67,44,-9
53,9,104,-68,24,-29
54,-11,84,-88,23,-9
34,9,64,-108,22,-10
35,-11,63,-88,21,-30
15,-31,83,-89,1,-10
35,-32,63,-90,-19,-30
55,-52,83,-110,-18,-10
56,-53,103,-111,-38,10
76,-73,83,-91,-18,11
75,-74,103,-71,-19,12
95,-94,83,-51,-20,13
94,-114,63,-31,0,-7
93,-94,64,-32,1,-6
92,-74,44,-33,21,-26
91,-75,45,-32,41,-25
71,-95,65,-12,42,-45
91,-96,85,-13,22,-44
111,-97,65,7,2,-64
110,-77,85,8,-18,-63
109,-78,65,9,-38,-62
108,-79,66,-11,-18,-82
109,-99,46,-10,-19,-62
108,-79,26,-9,-39,-82
107,-78,46,-8,-59,-62
107,-98,66,-28,-58,-42
87,-78,46,-27,-38,-41
88,-98,66,-26,-37,-21
89,-78,65,-46,-36,-1
69,-98,64,-66,-35,19
70,-78,44,-65,-36,39
69,-58,24,-85,-37,38
89,-38,4,-86,-17,58
69,-18,24,-85,-16,78
70,2,25,-84,-36,58
69,-18,5,-104,-37,78
70,-38,-15,-103,-57,58
69,-39,5,-83,-58,57
70,-59,25,-82,-58,37
50,-79,45,-81,-59,17
51,-99,65,-101,-60,-3
31,-79,85,-102,-40,-23
51,-99,105,-82,-20,-24
52,-79,105,-62,-19,-44
53,-99,105,-42,-18,-45
