Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6
40,67,78,-105,-64,-31
20,47,79,-85,-44,-11
21,48,78,-65,-64,-12
22,49,98,-45,-84,8
21,69,78,-25,-64,9
41,70,77,-26,-44,-11
42,69,57,-6,-24,9
22,70,56,14,-4,-11
42,71,55,34,16,-10
43,91,75,54,36,10
44,71,55,74,56,9
45,70,55,94,76,-11
46,71,35,74,77,-10
26,70,36,94,57,10
27,50,35,93,37,11
47,51,34,73,17,-9
27,50,33,93,18,11
47,51,34,113,38,31
67,50,35,112,58,51
47,49,34,113,38,71
46,50,35,93,37,91
26,49,36,73,57,90
46,29,37,53,57,70
26,30,36,33,37,90
25,31,36,32,37,70
45,51,56,31,36,90
65,51,57,31,35,89
45,50,77,11,15,88
25,30,97,31,-5,89
45,29,98,32,-6,69
44,28,97,52,14,68
64,29,98,53,34,88
63,9,97,33,54,68
43,29,77,53,74,69
42,28,57,33,94,70
22,48,58,53,114,71
42,47,59,33,94,70
22,67,79,32,114,71
21,68,78,33,113,51
22,88,77,32,93,50
42,89,78,31,73,30
41,88,77,32,93,29
42,89,57,33,73,30
22,69,77,13,93,31
21,70,97,12,113,30
22,90,98,11,93,29
23,89,99,10,73,28
43,69,98,11,93,27
23,49,78,12,73,26
22,29,77,32,93,25
21,28,76,33,73,26
41,27,96,13,93,25
61,26,76,33,94,25
62,46,56,32,74,26
63,47,55,31,94,25
83,48,56,32,74,26
63,47,57,12,94,27
62,48,58,-8,93,26
61,68,57,12,73,46
41,67,58,32,53,26
21,66,57,52,73,27
22,86,37,72,93,26
42,66,38,92,73,25
22,67,37,72,93,5
21,68,36,52,73,4
22,67,35,32,93,5
21,66,36,31,94,4
22,67,35,11,74,5
42,68,34,-9,94,6
22,88,54,11,74,7
42,68,34,31,75,27
22,69,14,30,95,26
42,68,34,50,96,25
43,69,35,70,76,26
44,49,55,90,96,27
64,29,35,91,116,28
44,49,55,71,96,29
43,49,35,72,76,30
23,69,34,92,56,29
43,68,35,72,36,30
23,67,55,71,37,29
22,87,35,72,36,30
42,67,35,52,16,31
43,66,55,32,-4,30
23,65,35,33,16,29
43,66,55,53,17,30
23,67,35,52,18,31
24,68,55,72,38,32
44,88,75,71,58,31
43,87,55,91,38,51
42,88,75,92,18,71
62,68,55,72,38,51
82,67,35,92,58,31
81,66,55,72,38,32
61,67,56,92,58,33
81,66,36,91,38,53
82,46,16,71,37,54
81,45,36,70,38,53
101,25,37,90,18,52
101,24,38,70,17,53
