Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6
107,31,88,-77,-92,-39
108,11,87,-76,-112,-19
109,12,67,-75,-111,-39
89,13,66,-95,-110,-40
90,-7,65,-96,-109,-60
70,-27,45,-97,-108,-59
50,-26,25,-117,-107,-39
70,-25,5,-118,-87,-38
50,-45,4,-98,-67,-18
30,-46,-16,-78,-66,-38
31,-45,-15,-58,-65,-37
11,-25,-16,-59,-64,-17
-9,-5,-36,-79,-65,-16
-29,-4,-35,-80,-66,-36
-49,-24,-34,-79,-46,-56
-48,-4,-54,-78,-47,-55
-28,-3,-74,-58,-48,-75
-29,-2,-94,-59,-49,-95
-30,-1,-74,-39,-50,-96
-31,-21,-73,-40,-51,-116
-32,-22,-72,-20,-50,-117
-52,-42,-71,0,-70,-118
-32,-62,-91,-20,-90,-119
-12,-82,-111,0,-89,-99
-13,-62,-112,1,-88,-79
-14,-63,-92,21,-108,-59
6,-43,-72,22,-107,-39
26,-42,-73,2,-87,-19
27,-41,-53,-18,-86,1
47,-41,-33,-38,-85,-19
48,-21,-13,-58,-84,1
68,-1,7,-78,-64,-19
67,19,8,-98,-44,-20
47,39,28,-118,-24,-40
48,38,29,-118,-4,-60
28,58,30,-118,-5,-80
48,78,50,-118,-6,-60
28,98,30,-118,14,-40
48,97,50,-118,34,-20
28,98,30,-98,33,0
27,97,50,-118,32,-20
47,77,30,-119,31,0
27,57,29,-99,32,1
26,58,49,-98,31,2
25,38,29,-118,11,-18
45,37,9,-117,-9,-19
44,38,-11,-116,-8,-18
64,18,-31,-115,-7,2
65,19,-32,-114,-27,-18
66,-1,-52,-94,-26,-38
67,-2,-53,-93,-27,-58
87,-1,-54,-73,-28,-57
67,-21,-55,-72,-48,-37
47,-22,-35,-71,-68,-38
48,-23,-36,-70,-88,-58
28,-22,-56,-90,-87,-59
8,-23,-76,-70,-67,-79
7,-43,-77,-69,-87,-78
-13,-44,-77,-89,-67,-79
-14,-64,-78,-88,-66,-80
-34,-84,-98,-108,-65,-100
-14,-104,-99,-109,-66,-120
6,-84,-79,-110,-67,-100
5,-83,-99,-111,-47,-80
25,-82,-79,-112,-27,-60
5,-102,-59,-113,-47,-40
4,-101,-39,-93,-27,-20
3,-81,-19,-73,-7,0
23,-61,1,-53,-8,20
3,-41,2,-52,-28,40
-17,-21,22,-51,-29,60
-37,-21,23,-31,-28,80
-36,-1,24,-11,-48,81
-56,19,23,9,-28,82
-76,-1,3,29,-8,83
-96,-21,-17,28,12,84
-97,-1,-16,27,32,83
-117,-2,-17,26,33,84
-116,-3,-18,6,53,64
-117,-2,-19,-14,54,63
-118,-3,1,-34,55,43
-98,-4,0,-54,56,44
-78,-24,1,-55,36,45
-98,-44,0,-75,37,46
-78,-64,-20,-76,17,47
-79,-84,-40,-96,-3,48
-80,-85,-60,-97,-4,28
-79,-105,-59,-96,-5,48
-99,-106,-60,-95,-25,47
-79,-86,-59,-75,-45,48
-80,-66,-39,-55,-44,28
-100,-67,-19,-56,-43,8
-120,-68,1,-36,-42,-12
-100,-69,21,-35,-62,-32
-80,-70,22,-15,-63,-31
-80,-50,42,5,-62,-51
-60,-30,62,4,-61,-52
-40,-29,61,5,-62,-32
-20,-28,41,25,-61,-12
0,-8,40,5,-62,8
