Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6
43,28,17,-88,-12,-120
42,27,-3,-68,-13,-100
62,26,-23,-69,-14,-80
61,25,-43,-70,6,-79
62,24,-63,-90,-14,-99
82,44,-62,-89,-34,-119
81,24,-82,-88,-35,-120
80,44,-102,-87,-36,-100
81,43,-102,-88,-37,-80
82,23,-102,-87,-57,-100
83,22,-82,-86,-56,-80
82,2,-62,-85,-76,-60
62,1,-61,-84,-75,-60
61,0,-81,-83,-95,-40
81,1,-101,-63,-75,-39
61,0,-81,-43,-55,-19
62,1,-61,-42,-35,-20
63,0,-41,-22,-15,-20
64,1,-21,-23,5,-40
65,0,-1,-24,4,-39
85,20,19,-25,3,-38
105,20,39,-45,-17,-58
85,21,38,-65,3,-78
86,22,18,-66,23,-98
106,22,38,-46,43,-97
107,2,18,-47,63,-77
87,3,-2,-48,43,-76
88,2,18,-68,23,-56
68,1,38,-67,24,-36
69,0,58,-87,4,-35
70,20,78,-107,-16,-34
71,21,77,-106,-15,-33
72,20,76,-105,-14,-32
92,20,56,-85,-13,-31
93,20,55,-65,-14,-30
94,0,35,-66,-34,-50
95,1,34,-67,-54,-30
96,0,14,-68,-53,-31
95,1,-6,-88,-52,-30
96,0,14,-108,-72,-29
95,1,34,-109,-92,-28
96,2,33,-108,-112,-27
95,3,13,-88,-92,-7
94,2,33,-87,-72,-8
93,1,34,-67,-92,-9
73,0,35,-66,-112,-10
93,20,55,-86,-92,-11
73,21,35,-106,-72,-31
72,41,34,-86,-73,-51
71,21,14,-85,-93,-50
91,41,-6,-105,-113,-49
92,42,-26,-85,-93,-69
72,62,-6,-65,-94,-89
71,82,14,-64,-114,-90
91,102,34,-63,-94,-110
71,82,54,-62,-74,-111
51,62,34,-82,-54,-112
50,63,54,-102,-34,-113
30,64,34,-82,-14,-93
31,65,35,-62,-34,-73
32,45,36,-42,-35,-74
52,25,56,-41,-36,-75
53,24,36,-61,-37,-55
33,23,37,-41,-38,-56
13,3,57,-61,-39,-57
33,23,58,-81,-19,-58
13,24,38,-61,-18,-78
-7,23,58,-41,-19,-79
-8,43,57,-21,-20,-80
12,23,37,-22,-40,-100
11,22,17,-23,-20,-120
12,21,-3,-24,0,-119
32,20,17,-44,-20,-99
33,21,37,-43,-40,-98
53,20,57,-63,-60,-97
52,40,77,-83,-40,-96
72,41,97,-84,-39,-95
71,42,98,-104,-19,-94
91,62,78,-105,-39,-74
92,61,77,-106,-38,-73
93,62,76,-107,-58,-53
92,63,77,-87,-38,-33
93,64,97,-88,-37,-34
73,65,77,-89,-36,-35
74,66,57,-90,-56,-55
94,86,37,-70,-36,-75
93,85,36,-69,-16,-95
73,84,16,-68,-17,-115
74,64,-4,-67,-18,-116
94,63,-5,-66,-38,-117
93,62,-25,-65,-58,-97
94,61,-5,-64,-59,-98
95,81,-25,-63,-79,-99
75,82,-5,-62,-80,-100
76,62,15,-82,-80,-120
77,61,16,-83,-79,-100
97,41,15,-103,-78,-99
98,21,-5,-102,-98,-79
118,22,15,-101,-78,-59
119,21,14,-81,-58,-39
