Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6
16,114,35,-105,-44,-26
-4,94,15,-85,-24,-27
16,74,-5,-84,-23,-47
17,75,-6,-83,-22,-27
18,76,-5,-63,-21,-28
-2,75,15,-43,-41,-29
-3,95,16,-63,-61,-9
-4,96,16,-64,-62,-8
-5,97,-4,-65,-63,-7
-6,77,-24,-45,-64,-27
-26,76,-25,-46,-84,-47
-26,77,-5,-66,-85,-48
-6,97,15,-86,-105,-49
14,77,16,-106,-104,-50
34,97,-4,-86,-84,-51
33,77,-3,-66,-64,-52
34,76,-2,-46,-63,-32
33,75,18,-26,-43,-33
53,74,17,-6,-23,-34
52,94,18,-26,-3,-35
51,74,-2,-25,17,-55
31,73,-1,-5,18,-56
11,72,-1,15,38,-57
12,92,-1,16,37,-58
-8,72,-1,17,36,-59
-9,92,-1,18,56,-79
-29,72,-2,38,57,-78
-49,71,-3,39,77,-79
-50,70,17,39,76,-80
-70,69,37,39,75,-100
-71,68,17,39,55,-99
-91,67,18,39,75,-98
-92,66,17,39,74,-78
-91,65,16,39,94,-77
-92,64,-4,39,74,-76
-91,63,16,59,94,-75
-92,62,15,59,93,-95
-91,42,14,39,113,-115
-92,43,34,19,113,-95
-91,44,14,19,112,-94
-92,64,-6,-1,111,-93
-91,65,14,-1,110,-113
-90,85,15,-21,90,-93
-91,86,-5,-1,89,-73
-90,66,-25,-21,69,-72
-91,67,-45,-41,70,-92
-90,87,-44,-42,90,-112
-91,67,-43,-41,110,-111
-71,87,-42,-61,109,-110
-51,67,-62,-61,89,-109
-50,66,-63,-81,88,-89
-30,86,-64,-82,108,-88
-29,66,-84,-83,88,-68
-9,65,-104,-84,68,-48
11,64,-104,-85,88,-47
31,63,-84,-105,87,-46
30,62,-64,-85,86,-26
29,61,-44,-86,87,-25
9,62,-24,-106,107,-5
-11,61,-4,-106,106,-25
-12,60,16,-106,86,-5
-32,61,17,-86,85,-4
-33,41,-3,-106,84,-5
-13,42,17,-86,64,-6
7,41,37,-66,44,-7
6,61,17,-86,24,13
-14,62,18,-87,4,-7
-34,42,-2,-88,-16,-8
-33,22,-3,-89,-17,-9
-32,42,-23,-90,-18,-8
-31,22,-43,-91,-38,-9
-32,23,-63,-71,-37,-29
-31,22,-43,-72,-57,-30
-32,42,-42,-73,-77,-31
-32,41,-41,-93,-76,-51
-12,61,-61,-94,-77,-52
8,41,-81,-114,-78,-32
28,42,-61,-115,-77,-33
27,41,-41,-95,-97,-34
26,61,-42,-115,-98,-35
25,41,-41,-114,-118,-15
24,42,-21,-113,-117,5
25,43,-1,-93,-97,5
26,63,19,-94,-77,-15
25,64,18,-74,-57,-35
45,84,38,-75,-58,-55
46,85,37,-75,-38,-55
26,86,38,-76,-39,-75
25,87,18,-77,-19,-76
26,88,-2,-57,-20,-96
46,68,-3,-58,-19,-97
45,88,-23,-59,1,-98
65,68,-24,-58,2,-118
66,69,-25,-78,-18,-98
67,70,-24,-77,-17,-97
87,71,-44,-57,-18,-96
88,51,-64,-37,2,-97
89,31,-84,-36,3,-77
90,11,-104,-35,23,-78
91,12,-84,-34,43,-79
