Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6
29,14,24,80,18,112
9,-6,25,100,-2,92
8,-5,24,80,-22,72
28,15,44,100,-42,92
29,16,64,80,-62,72
28,36,63,60,-82,52
48,56,62,40,-102,32
68,57,82,20,-103,12
48,77,62,0,-104,-8
47,78,42,-20,-105,-9
67,98,43,-19,-106,-10
66,97,23,-18,-107,-30
46,117,3,-38,-108,-31
47,117,-17,-39,-109,-11
67,97,3,-59,-110,-12
47,96,23,-79,-90,-13
46,97,43,-99,-91,-33
26,98,42,-98,-92,-34
46,78,62,-97,-93,-35
26,98,63,-96,-94,-36
27,78,62,-97,-95,-37
47,98,42,-117,-115,-57
46,97,43,-116,-95,-56
26,98,23,-96,-94,-55
46,78,43,-76,-114,-54
26,77,42,-77,-94,-53
27,76,62,-78,-93,-52
28,75,61,-77,-73,-51
29,76,81,-78,-53,-50
49,75,61,-58,-33,-49
50,55,81,-59,-53,-48
70,56,61,-60,-54,-47
90,57,62,-40,-55,-46
89,37,63,-20,-56,-66
69,38,83,-19,-57,-65
89,39,82,-18,-77,-64
109,59,81,-19,-78,-63
89,58,61,-20,-98,-62
69,57,81,-40,-118,-82
68,37,82,-60,-119,-83
67,36,62,-59,-99,-82
47,37,42,-79,-98,-102
46,36,41,-59,-97,-103
26,16,21,-39,-96,-83
25,36,41,-59,-116,-63
24,56,21,-60,-96,-64
44,55,22,-80,-97,-65
24,35,2,-100,-117,-66
23,55,-18,-80,-97,-67
22,35,2,-60,-98,-68
21,36,3,-40,-78,-67
1,56,-17,-39,-58,-87
21,36,3,-38,-58,-86
1,56,23,-18,-38,-85
21,57,43,2,-37,-84
41,58,63,22,-36,-83
61,57,83,23,-35,-82
41,37,84,24,-36,-102
42,57,64,4,-35,-103
22,58,84,-16,-34,-104
23,78,85,-15,-33,-105
43,98,86,-14,-53,-106
44,78,87,-13,-52,-105
24,98,67,-14,-72,-104
44,97,68,-13,-92,-103
45,77,88,-12,-91,-102
46,76,108,-32,-111,-82
47,77,88,-52,-112,-81
27,57,89,-53,-113,-61
47,58,69,-54,-114,-41
46,38,49,-74,-94,-42
47,37,50,-54,-93,-43
27,38,51,-55,-113,-63
26,37,71,-75,-93,-62
27,38,91,-76,-73,-61
26,37,90,-77,-53,-81
25,38,91,-78,-52,-101
24,37,90,-98,-51,-81
23,57,70,-99,-50,-82
24,58,50,-119,-70,-83
23,78,30,-99,-90,-84
3,77,31,-79,-89,-85
23,76,32,-78,-88,-86
22,75,12,-98,-108,-85
42,95,13,-99,-107,-105
41,75,-7,-100,-106,-104
61,55,13,-80,-107,-103
81,56,33,-60,-87,-103
61,55,53,-40,-86,-102
62,56,73,-39,-66,-101
42,36,93,-59,-65,-101
43,37,92,-79,-66,-81
63,38,72,-59,-67,-61
64,37,71,-60,-68,-62
65,57,51,-80,-69,-63
85,37,31,-100,-89,-62
84,57,11,-120,-109,-63
64,37,31,-120,-110,-64
84,38,32,-100,-111,-65
64,37,12,-99,-112,-64
