Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6
100,97,67,-23,-35,-87
100,96,68,-22,-36,-86
100,95,48,-2,-56,-66
80,75,68,-3,-57,-86
81,55,48,17,-77,-87
80,54,49,37,-57,-86
60,53,69,38,-56,-85
60,54,89,39,-36,-86
61,34,88,19,-35,-85
60,35,108,19,-36,-65
61,55,88,18,-56,-45
81,35,87,17,-76,-44
61,36,107,16,-75,-64
60,36,87,15,-95,-63
60,56,88,35,-115,-43
60,57,68,55,-115,-63
40,58,88,54,-116,-83
41,59,89,34,-96,-103
21,39,90,14,-76,-103
22,19,70,34,-75,-104
2,19,90,14,-74,-104
-18,-1,91,-6,-94,-84
-38,-1,92,-7,-93,-64
-58,-21,112,-8,-73,-44
-38,-41,111,12,-53,-24
-37,-41,111,13,-33,-23
-38,-41,112,33,-53,-22
-39,-41,111,13,-54,-2
-19,-41,110,-7,-34,-22
-20,-41,90,-8,-35,-2
-40,-42,70,-9,-36,-22
-39,-42,50,-10,-37,-2
-59,-62,51,10,-36,-3
-58,-63,52,30,-16,17
-59,-43,32,29,-17,18
-79,-44,31,28,-37,17
-80,-64,11,29,-57,18
-60,-84,12,28,-77,19
-59,-104,32,8,-78,-1
-39,-103,52,9,-58,19
-38,-102,51,8,-78,39
-58,-103,52,-12,-98,59
-78,-83,32,-13,-97,79
-77,-84,12,-33,-98,99
-78,-104,13,-13,-98,99
-58,-84,12,-12,-118,79
-38,-64,11,-32,-118,99
-58,-84,-9,-52,-119,79
-59,-83,-29,-32,-119,59
-58,-84,-9,-52,-118,79
-38,-83,-8,-32,-117,78
-58,-82,-9,-52,-97,79
-78,-62,-10,-72,-117,78
-58,-61,10,-73,-117,98
-38,-41,30,-72,-117,97
-18,-42,29,-71,-118,98
-19,-22,9,-70,-98,78
-20,-2,29,-90,-97,79
-19,-22,9,-70,-98,99
-20,-42,29,-90,-97,98
0,-43,28,-70,-117,78
-20,-44,8,-50,-97,58
-19,-43,7,-30,-77,59
-18,-44,8,-31,-78,59
-19,-24,28,-11,-79,58
-39,-25,27,9,-80,57
-38,-24,7,10,-60,37
-58,-23,-13,9,-80,36
-38,-22,-14,29,-79,16
-18,-21,-34,9,-59,-4
2,-1,-35,8,-79,-5
-18,-21,-36,-12,-80,15
-38,-21,-16,-11,-100,-5
-39,-21,-36,-12,-120,15
-19,-1,-16,-32,-120,14
-18,-2,-36,-31,-120,34
-38,18,-16,-11,-119,35
-58,17,4,-12,-118,55
-59,-3,5,-13,-118,56
-58,-4,6,-14,-117,76
-59,16,5,-13,-97,75
-79,-4,-15,-14,-77,76
-59,16,-35,-15,-78,96
-60,15,-35,5,-98,116
-80,35,-15,6,-99,96
-60,55,5,7,-98,116
-59,35,25,6,-97,117
-39,55,26,-14,-77,118
-59,75,6,-34,-78,98
-60,76,-14,-33,-58,99
-40,56,-34,-32,-38,119
-60,55,-14,-52,-37,118
-59,35,6,-72,-17,117
-79,55,5,-92,-18,116
-99,35,25,-112,-38,117
-79,55,45,-111,-37,97
-99,35,25,-110,-57,98
-98,34,5,-109,-37,99
-78,14,25,-110,-17,79
-77,15,5,-109,3,59
